Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
52260627,"The Committed (The Sympathizer, #2)",Viet Thanh Nguyen,"Nguyen, Viet Thanh",,"=""0802157068""","=""9780802157065""",0,3.96,Grove Press,Hardcover,345,2021,2021,2021/01/01,2021/04/12,,,read,,,,1,0
4573498,The Gardner Heist: The True Story of the World's Largest Unsolved Art Theft,Ulrich Boser,"Boser, Ulrich",,"=""0061451835""","=""9780061451836""",0,3.69,Smithsonian,Hardcover,272,2009,2009,2021/01/01,2021/04/12,,,read,,,,1,0
36047860,Milkman,Anna Burns,"Burns, Anna",,"=""0571338763""","=""9780571338764""",0,3.53,Faber & Faber,Kindle Edition,352,2018,2018,2021/03/01,2021/02/01,,,read,,,,1,0
13546114,The Noonday Demon: An Atlas of Depression,Andrew Solomon,"Solomon, Andrew",Barrett Whitener,"=""1442353538""","=""9781442353534""",0,4.19,Simon  Schuster Audio,Audiobook,,2012,2000,2021/01/01,2021/02/28,,,read,,,,1,0
16071701,"Bad Monkey (Andrew Yancy, #1)",Carl Hiaasen,"Hiaasen, Carl",,"=""0307272591""","=""9780307272591""",0,3.76,Knopf,Hardcover,337,2013,2013,2021/01/01,2021/02/28,,,read,,,,1,0
865,The Alchemist,Paulo Coelho,"Coelho, Paulo",Alan R. Clarke,"=""0061122416""","=""9780061122415""",1,3.92,HarperCollins,Paperback,197,1993,1988,,2017/07/22,,,read,,,,1,0
5128,The Doors of Perception & Heaven and Hell,Aldous Huxley,"Huxley, Aldous",,"=""0060595183""","=""9780060595180""",0,3.90,Harper Perennial Modern Classics,Paperback,187,2004,1956,,2021/02/16,,,read,,,,1,0
910248,Heat,Nick    James,"James, Nick",,"=""0851709389""","=""9780851709383""",0,3.84,British Film Institute,Paperback,96,2002,2002,2021/02/12,2021/02/01,,,read,,,,1,0
991197,The Complete Persepolis,Marjane Satrapi,"Satrapi, Marjane",,"=""0375714839""","=""9780375714832""",0,4.40,Pantheon Books,Paperback,341,2007,2007,,2021/02/04,,,read,,,,1,0
341879,Just Kids,Patti Smith,"Smith, Patti",,"=""""","=""""",0,4.21,Ecco,Hardcover,304,2010,2010,2021/02/04,2021/02/01,,,read,,,,1,0
38746140,"Burning Down the Haus: Punk Rock, Revolution, and the Fall of the Berlin Wall",Tim Mohr,"Mohr, Tim",,"=""1616208430""","=""9781616208431""",0,4.04,"Algonquin Books/Workman Publishing Company, Inc.",Hardcover,384,2018,2017,2019/01/01,2021/02/01,,,read,,,,1,0
531989,Drown,Junot Díaz,"Díaz, Junot",,"=""1573226068""","=""9781573226066""",0,4.01,Riverhead Trade,Paperback,208,1997,1995,2020/01/01,2021/02/01,,,read,,,,1,0
29496076,Killers of the Flower Moon: The Osage Murders and the Birth of the FBI,David Grann,"Grann, David",,"=""0385534256""","=""9780385534253""",0,4.14,Doubleday,ebook,359,2017,2017,2020/01/01,2021/02/01,,,read,,,,1,0
10765811,The Vices: A Novel,Lawrence Douglas,"Douglas, Lawrence",,"=""1590514157""","=""9781590514153""",0,3.47,Other Press,Paperback,352,2011,2011,2020/01/01,2021/02/01,,,read,,,,1,0
472331,Watchmen,Alan             Moore,"Moore, Alan","Dave Gibbons, John    Higgins","=""0930289234""","=""9780930289232""",0,4.39,DC Comics,Paperback,416,2005,1987,2020/01/01,2021/02/01,,,read,,,,1,0
25614595,"Better Living Through Criticism: How to Think About Art, Pleasure, Beauty, and Truth",A.O. Scott,"Scott, A.O.",,"=""1594204837""","=""9781594204838""",0,3.28,Penguin Press,Hardcover,288,2016,2016,2020/01/01,2021/02/01,,,read,,,,1,0
30347685,Devils in Daylight,Jun'ichirō Tanizaki,"Tanizaki, Jun'ichirō","谷崎 潤一郎, J. Keith Vincent","=""0811224910""","=""9780811224918""",0,3.63,New Directions,Hardcover,95,2017,1918,2020/01/01,2021/02/01,,,read,,,,1,0
34473,In Praise of Shadows,Jun'ichirō Tanizaki,"Tanizaki, Jun'ichirō","Edward G. Seidensticker, Thomas J. Harper, Charles Moore","=""""","=""""",0,4.00,Leete's Island Books,Paperback,56,1977,1933,2020/01/01,2021/02/01,,,read,,,,1,0
28962895,"IQ (IQ, #1)",Joe Ide,"Ide, Joe",,"=""0316267724""","=""9780316267724""",0,3.77,"Little, Brown and Company",Hardcover,325,2016,2016,2020/01/01,2021/02/01,,,read,,,,1,0
625094,The Leopard,Giuseppe Tomasi di Lampedusa,"Lampedusa, Giuseppe Tomasi di",Archibald Colquhoun,"=""0679731210""","=""9780679731214""",0,4.01,Pantheon,Paperback,319,1991,1958,2020/01/01,2021/02/01,,,read,,,,1,0
44670525,Swimming in Darkness,Lucas Harari,"Harari, Lucas",David Homel,"=""1551527677""","=""9781551527673""",0,3.61,Arsenal Pulp Press,Hardcover,152,2019,2017,2020/01/01,2021/02/01,,,read,,,,1,0
7331435,A Visit from the Goon Squad,Jennifer Egan,"Egan, Jennifer",,"=""0307592839""","=""9780307592835""",0,3.70,Knopf,Hardcover,274,2010,2010,2020/01/01,2021/02/01,,,read,,,,1,0
22320,"Pattern Recognition (Blue Ant, #1)",William Gibson,"Gibson, William",,"=""0425198685""","=""9780425198681""",0,3.88,Berkley Books,Mass Market Paperback,367,2005,2003,2020/01/01,2021/02/01,,,read,,,,1,0
3805,The Corrections,Jonathan Franzen,"Franzen, Jonathan",,"=""1841156736""","=""9781841156736""",0,3.85,Fourth Estate Paperbacks,Paperback,653,2002,2001,2020/01/01,2021/02/01,,,read,,,,1,0
6356399,Manhood for Amateurs,Michael Chabon,"Chabon, Michael",,"=""0061490180""","=""9780061490187""",0,3.73,HarperCollins,Hardcover,306,2009,2009,2019/01/01,2021/02/01,,,read,,,,1,0
25200,Silence,Shūsaku Endō,"Endō, Shūsaku",William Johnston,"=""0800871863""","=""9780800871864""",0,4.10,Taplinger Publishing Company,Paperback,294,1980,1966,2019/01/01,2021/02/01,,,read,,,,1,0
6149,Beloved,Toni Morrison,"Morrison, Toni",,"=""""","=""9781400033416""",0,3.98,Vintage,Paperback,325,2004,1987,2018/01/01,2021/02/01,,,read,,,,1,0
39927096,"Less (Arthur Less, #1)",Andrew Sean Greer,"Greer, Andrew Sean",,"=""""","=""""",0,3.62,Lee Boudreaux Books,Kindle Edition,273,2017,2017,2020/01/01,2021/02/01,,,read,,,,1,0
68210,"Gilead (Gilead, #1)",Marilynne Robinson,"Robinson, Marilynne",,"=""031242440X""","=""9780312424404""",0,3.85,Picador ,Paperback,247,2006,2004,,2021/02/01,,,read,,,,1,0
44436221,Interior Chinatown,Charles Yu,"Yu, Charles",,"=""""","=""""",0,3.93,Pantheon,Hardcover,288,2020,2020,2020/01/01,2021/02/01,,,read,,,,1,0
2195464,What I Talk About When I Talk About Running,Haruki Murakami,"Murakami, Haruki",Philip Gabriel,"=""""","=""""",0,3.87,Knopf Publishing Group,Hardcover,188,2008,2007,2020/01/01,2021/02/01,,,read,,,,1,0
53122391,A Children's Bible,Lydia Millet,"Millet, Lydia",,"=""1324005033""","=""9781324005032""",0,3.70,W. W. Norton  Company,Hardcover,224,2020,2020,2020/01/01,2021/02/01,,,read,,,,1,0
54911607,The Guest List,Lucy Foley,"Foley, Lucy",,"=""0062868934""","=""9780062868930""",0,3.79,William Morrow,Hardcover,313,2020,2020,2020/01/01,2021/02/01,,,read,,,,1,0
11297,Norwegian Wood,Haruki Murakami,"Murakami, Haruki",Jay Rubin,"=""""","=""""",0,3.99,Vintage Books,Paperback,296,2000,1987,,2018/11/01,,,read,,,,1,0
139069,Endurance: Shackleton's Incredible Voyage,Alfred Lansing,"Lansing, Alfred",,"=""""","=""""",0,4.46,Carroll & Graf Publishers,Hardcover,282,1999,1959,2021/01/26,2021/02/01,,,read,,,,1,0
17061,Coraline,Neil Gaiman,"Gaiman, Neil",Dave McKean,"=""0061139378""","=""9780061139376""",0,4.13,William Morrow Paperbacks,Paperback,208,2006,2002,2021/01/20,2021/02/01,,,read,,,,1,0
31920820,Priestdaddy,Patricia Lockwood,"Lockwood, Patricia",,"=""1594633738""","=""9781594633737""",0,3.85,Riverhead Books,Hardcover,336,2017,2017,2021/01/14,2021/02/01,,,read,,,,1,0
7624,Lord of the Flies,William Golding,"Golding, William",,"=""0140283331""","=""9780140283334""",0,3.70,Penguin Books ,Paperback,182,1999,1954,2021/01/04,2021/02/01,,,read,,,,1,0
13562049,Sweet Tooth,Ian McEwan,"McEwan, Ian",,"=""""","=""""",0,3.44,Jonathan Cape,Hardcover,320,2012,2012,2018/12/04,2018/11/19,,,read,,,,1,0
17799,"South of the Border, West of the Sun",Haruki Murakami,"Murakami, Haruki",Philip Gabriel,"=""0099448572""","=""9780099448570""",3,3.85,Vintage,Paperback,190,2006,1992,,2018/11/19,,,read,,,,1,0
21704,"The Black Dahlia (L.A. Quartet, #1)",James Ellroy,"Ellroy, James",,"=""0446698873""","=""9780446698870""",0,3.79,Mysterious Press,Paperback,348,2006,1987,,2018/11/19,to-read,to-read (#3),to-read,,,,0,0
4929,Kafka on the Shore,Haruki Murakami,"Murakami, Haruki",Philip Gabriel,"=""""","=""""",0,4.12,Vintage International,Paperback,467,2006,2002,,2018/11/01,,,read,,,,1,0
